BANKNIFTY,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
NIFTY_F1,20120102,09:16,4638,4638,4616.05,4626.2,212950
NIFTY_F1,20120102,09:17,4626,4628,4622.3,4625.3,107550
NIFTY_F1,20120102,09:18,4625.3,4635.55,4625.3,4635.55,81950
NIFTY_F1,20120102,09:19,4635.7,4639.7,4634,4638.2,79350
NIFTY_F1,20120102,09:20,4638.5,4639.9,4637.45,4638.9,72100
NIFTY_F1,20120102,09:21,4638.05,4645.25,4638,4643,100700
NIFTY_F1,20120102,09:22,4642.5,4643,4637,4637.65,65450
NIFTY_F1,20120102,09:23,4636.45,4638,4634.25,4637.35,46150
NIFTY_F1,20120102,09:24,4638.5,4642.1,4637.9,4637.9,51850
NIFTY_F1,20120102,09:25,4638,4640.55,4635.7,4640.5,39450
NIFTY_F1,20120102,09:26,4640.05,4640.7,4637.1,4637.1,27350
NIFTY_F1,20120102,09:27,4637.1,4639.8,4636,4639.75,35550
NIFTY_F1,20120102,09:28,4638.6,4644.85,4638.6,4644,43450
NIFTY_F1,20120102,09:29,4643.9,4649.7,4641.95,4648.4,96750
NIFTY_F1,20120102,09:30,4648.2,4649.8,4646.1,4646.15,52700
NIFTY_F1,20120102,09:31,4646.55,4652,4646.55,4650.95,114250
NIFTY_F1,20120102,09:32,4650.65,4656,4650.4,4653.25,114500
NIFTY_F1,20120102,09:33,4653.25,4653.25,4649.15,4650,72300
NIFTY_F1,20120102,09:34,4650.15,4651.6,4645,4645.3,44300
NIFTY_F1,20120102,09:35,4645.1,4649,4645.1,4645.75,29500
NIFTY_F1,20120102,09:36,4645.75,4647.8,4645.2,4647,31400
NIFTY_F1,20120102,09:37,4646.4,4647.95,4645,4647.95,42200
NIFTY_F1,20120102,09:38,4647.95,4651,4647.95,4649.35,21850
NIFTY_F1,20120102,09:39,4651,4651.6,4648.2,4649.15,24900
NIFTY_F1,20120102,09:40,4647.5,4649.3,4645,4645.05,38500
NIFTY_F1,20120102,09:41,4645.05,4649,4644,4648,27150
NIFTY_F1,20120102,09:42,4648,4649,4648,4648,22900
NIFTY_F1,20120102,09:43,4648.1,4653,4646.25,4653,28900
NIFTY_F1,20120102,09:44,4653,4654.1,4651.45,4653.25,42200
NIFTY_F1,20120102,09:45,4651.9,4653,4649,4649.25,33650
NIFTY_F1,20120102,09:46,4649.75,4650,4648.9,4649.5,22800
NIFTY_F1,20120102,09:47,4649.95,4652,4648.35,4649.05,16750
NIFTY_F1,20120102,09:48,4649,4650.95,4645.8,4646.3,34950
NIFTY_F1,20120102,09:49,4646.9,4647.7,4645.4,4646.05,12950
NIFTY_F1,20120102,09:50,4645.5,4646.95,4644.05,4646.7,35300
NIFTY_F1,20120102,09:51,4646.65,4647.3,4644.85,4645.7,28800
NIFTY_F1,20120102,09:52,4645.15,4645.95,4644.85,4645.4,13500
NIFTY_F1,20120102,09:53,4644.95,4645.5,4640.1,4641,51150
NIFTY_F1,20120102,09:54,4641,4641,4636,4637,68700
NIFTY_F1,20120102,09:55,4636.3,4639.75,4636,4637.8,30900
NIFTY_F1,20120102,09:56,4638,4638.05,4633.55,4634,45650
NIFTY_F1,20120102,09:57,4634,4638.2,4634,4638,30900
NIFTY_F1,20120102,09:58,4638,4638.15,4635.85,4636.95,15050
NIFTY_F1,20120102,09:59,4636.2,4637,4633.1,4633.1,16950
NIFTY_F1,20120102,10:00,4632.5,4633.3,4628.3,4631,80350
NIFTY_F1,20120102,10:01,4631.05,4632,4629.5,4629.5,34150
NIFTY_F1,20120102,10:02,4629.45,4630.5,4628,4629.45,23800
NIFTY_F1,20120102,10:03,4630.5,4633.7,4630,4633,22200
NIFTY_F1,20120102,10:04,4633,4633.8,4632,4632.9,13600
NIFTY_F1,20120102,10:05,4632.9,4633,4632,4632.95,19950
NIFTY_F1,20120102,10:06,4632.9,4632.95,4623,4623,90500
NIFTY_F1,20120102,10:07,4622.1,4625,4622.1,4622.2,70850
NIFTY_F1,20120102,10:08,4622.85,4623,4618.35,4620.3,109700
NIFTY_F1,20120102,10:09,4619.2,4624,4619.2,4622.35,35900
NIFTY_F1,20120102,10:10,4622.4,4624.95,4622.4,4623.9,21550
NIFTY_F1,20120102,10:11,4624,4624,4621.35,4623,19500
NIFTY_F1,20120102,10:12,4622.1,4628.65,4622.1,4628.65,19800
NIFTY_F1,20120102,10:13,4628.65,4629,4626,4628,17350
NIFTY_F1,20120102,10:14,4628.65,4629.85,4627,4627,18550
NIFTY_F1,20120102,10:15,4627.25,4629.9,4626.85,4629.5,12200
NIFTY_F1,20120102,10:16,4629.1,4629.65,4627.05,4627.05,8850
NIFTY_F1,20120102,10:17,4627.05,4628,4626.3,4626.3,8750
NIFTY_F1,20120102,10:18,4627.5,4627.85,4626.15,4627.15,8000
NIFTY_F1,20120102,10:19,4627.5,4628,4626,4626,8050
NIFTY_F1,20120102,10:20,4625.5,4626.35,4623.35,4623.35,10850
NIFTY_F1,20120102,10:21,4623.4,4623.9,4621.6,4621.6,15200
NIFTY_F1,20120102,10:22,4621.6,4622.75,4619.05,4620.35,37000
NIFTY_F1,20120102,10:23,4621.35,4622.5,4617.1,4617.65,35500
NIFTY_F1,20120102,10:24,4618,4619.9,4616.6,4619.9,36350
NIFTY_F1,20120102,10:25,4619.9,4622.75,4619,4621,48800
NIFTY_F1,20120102,10:26,4621,4623,4619.95,4621,39450
NIFTY_F1,20120102,10:27,4620.7,4624.5,4620.7,4623.75,19300
NIFTY_F1,20120102,10:28,4624.95,4626.7,4624,4625,19000
NIFTY_F1,20120102,10:29,4624.4,4628.6,4624.4,4627,26600
NIFTY_F1,20120102,10:30,4626.4,4628.75,4626.4,4628.75,11700
NIFTY_F1,20120102,10:31,4628,4628.8,4625.9,4627,9550
NIFTY_F1,20120102,10:32,4627,4627,4625.75,4626.9,9350
NIFTY_F1,20120102,10:33,4627,4628.5,4627,4628.5,9950
NIFTY_F1,20120102,10:34,4628.5,4631.9,4628.5,4631.8,21100
NIFTY_F1,20120102,10:35,4631.65,4631.65,4623,4625.6,24450
NIFTY_F1,20120102,10:36,4625.6,4626,4623.5,4626,17200
NIFTY_F1,20120102,10:37,4626,4627,4625.75,4626.35,6200
NIFTY_F1,20120102,10:38,4626,4626.7,4624,4625,13600
NIFTY_F1,20120102,10:39,4624.25,4626,4622,4622,11350
NIFTY_F1,20120102,10:40,4622,4623.5,4620,4620.9,18650
NIFTY_F1,20120102,10:41,4620.95,4621,4619,4620,17550
NIFTY_F1,20120102,10:42,4620,4622,4619.6,4621.6,13400
NIFTY_F1,20120102,10:43,4622.3,4628,4622,4627.7,24400
NIFTY_F1,20120102,10:44,4627.7,4630,4626.1,4627.45,37600
NIFTY_F1,20120102,10:45,4627.5,4628.2,4627.45,4627.45,9450
NIFTY_F1,20120102,10:46,4627.45,4630.95,4627.4,4630,20650
NIFTY_F1,20120102,10:47,4630.9,4632.95,4630,4630,31350
NIFTY_F1,20120102,10:48,4630,4630.5,4628,4628,11950
NIFTY_F1,20120102,10:49,4628,4630,4627.8,4629,9200
NIFTY_F1,20120102,10:50,4629,4629.6,4626.05,4626.1,7550
NIFTY_F1,20120102,10:51,4625.65,4626.2,4625,4626,13700
NIFTY_F1,20120102,10:52,4627.45,4628.75,4626,4627.7,6700
NIFTY_F1,20120102,10:53,4628,4630,4628,4629.5,6550
NIFTY_F1,20120102,10:54,4628.3,4631.9,4628.3,4631,13400
